Running Brodnik (C++) Stack Test...
AC - T1_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T8_random | Wall: 66.070000s | CPU User: 64.750000s | CPU Sys: 1.320000s | Max Memory: 540495872B
AC - T9_random | Wall: 653.390000s | CPU User: 640.990000s | CPU Sys: 12.400000s | Max Memory: 4298592256B
AC - T7_push_then_random | Wall: 7.030000s | CPU User: 6.880000s | CPU Sys: 0.150000s | Max Memory: 70598656B
AC - T4_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T3_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_random | Wall: 0.100000s | CPU User: 0.100000s | CPU Sys: 0.000000s | Max Memory: 4145152B
AC - T2_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T3_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_then_random | Wall: 0.700000s | CPU User: 0.680000s | CPU Sys: 0.020000s | Max Memory: 11882496B
AC - T9_push_then_random | Wall: 705.670000s | CPU User: 689.970000s | CPU Sys: 15.700000s | Max Memory: 8593559552B
AC - T1_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T6_random | Wall: 1.020000s | CPU User: 1.000000s | CPU Sys: 0.020000s | Max Memory: 7815168B
AC - T8_push_then_random | Wall: 71.010000s | CPU User: 69.240000s | CPU Sys: 1.770000s | Max Memory: 1077362688B
AC - T2_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T7_push_random_then_pop | Wall: 6.570000s | CPU User: 6.430000s | CPU Sys: 0.140000s | Max Memory: 70598656B
AC - T2_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T2_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T6_push_random_then_pop | Wall: 1.020000s | CPU User: 1.000000s | CPU Sys: 0.020000s | Max Memory: 11878400B
AC - T8_random_then_pop | Wall: 60.520000s | CPU User: 59.200000s | CPU Sys: 1.320000s | Max Memory: 540364800B
AC - T5_push_random_then_pop | Wall: 0.070000s | CPU User: 0.070000s | CPU Sys: 0.000000s | Max Memory: 4673536B
AC - T8_push_random_then_pop | Wall: 65.830000s | CPU User: 64.580000s | CPU Sys: 1.250000s | Max Memory: 540495872B
AC - T7_random_then_pop | Wall: 6.040000s | CPU User: 5.940000s | CPU Sys: 0.100000s | Max Memory: 70729728B
AC - T5_random_then_pop | Wall: 0.100000s | CPU User: 0.100000s | CPU Sys: 0.000000s | Max Memory: 4149248B
AC - T1_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T9_random_then_pop | Wall: 598.830000s | CPU User: 587.460000s | CPU Sys: 11.370000s | Max Memory: 4298461184B
AC - T1_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T3_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T3_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T9_push_random_then_pop | Wall: 649.190000s | CPU User: 634.990000s | CPU Sys: 14.200000s | Max Memory: 8593424384B
AC - T6_random_then_pop | Wall: 0.930000s | CPU User: 0.910000s | CPU Sys: 0.020000s | Max Memory: 7684096B
AC - T4_push_random_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T4_random_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T4_push_then_pop | Wall: 0.040000s | CPU User: 0.040000s | CPU Sys: 0.000000s | Max Memory: 4194304B
AC - T3_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T7_push_then_pop | Wall: 21.310000s | CPU User: 20.950000s | CPU Sys: 0.360000s | Max Memory: 70594560B
AC - T1_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T6_push_then_pop | Wall: 2.330000s | CPU User: 2.280000s | CPU Sys: 0.050000s | Max Memory: 20271104B
AC - T2_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_push_then_pop | Wall: 0.340000s | CPU User: 0.340000s | CPU Sys: 0.000000s | Max Memory: 5718016B
AC - T8_push_then_pop | Wall: 163.170000s | CPU User: 160.680000s | CPU Sys: 2.490000s | Max Memory: 540360704B
AC - T9_push_then_pop | Wall: 1014.140000s | CPU User: 994.750000s | CPU Sys: 19.390000s | Max Memory: 8593559552B
Running STL Stack List (C++) Stack Test...
AC - T7_random | Wall: 7.920000s | CPU User: 7.660000s | CPU Sys: 0.260000s | Max Memory: 324009984B
AC - T4_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4325376B
AC - T5_push_then_random | Wall: 0.120000s | CPU User: 0.120000s | CPU Sys: 0.000000s | Max Memory: 8781824B
AC - T1_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T8_random | Wall: 71.950000s | CPU User: 69.810000s | CPU Sys: 2.140000s | Max Memory: 3204055040B
AC - T9_random | Wall: 748.440000s | CPU User: 707.680000s | CPU Sys: 40.760000s | Max Memory: 32003063808B
AC - T7_push_then_random | Wall: 8.500000s | CPU User: 8.170000s | CPU Sys: 0.330000s | Max Memory: 483786752B
AC - T4_push_then_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4325376B
AC - T3_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T5_random | Wall: 0.110000s | CPU User: 0.110000s | CPU Sys: 0.000000s | Max Memory: 7077888B
AC - T2_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T3_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_then_random | Wall: 1.230000s | CPU User: 1.180000s | CPU Sys: 0.050000s | Max Memory: 51904512B
AC - T1_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T6_random | Wall: 1.110000s | CPU User: 1.070000s | CPU Sys: 0.040000s | Max Memory: 35913728B
AC - T8_push_then_random | Wall: 78.130000s | CPU User: 75.290000s | CPU Sys: 2.840000s | Max Memory: 4803919872B
AC - T2_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T7_push_random_then_pop | Wall: 7.200000s | CPU User: 6.940000s | CPU Sys: 0.260000s | Max Memory: 430702592B
AC - T2_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T2_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_random_then_pop | Wall: 1.050000s | CPU User: 1.010000s | CPU Sys: 0.040000s | Max Memory: 46661632B
AC - T8_random_then_pop | Wall: 65.360000s | CPU User: 63.340000s | CPU Sys: 2.020000s | Max Memory: 3204055040B
AC - T5_push_random_then_pop | Wall: 0.110000s | CPU User: 0.110000s | CPU Sys: 0.000000s | Max Memory: 8257536B
AC - T8_push_random_then_pop | Wall: 72.710000s | CPU User: 70.020000s | CPU Sys: 2.690000s | Max Memory: 4270587904B
AC - T7_random_then_pop | Wall: 6.600000s | CPU User: 6.370000s | CPU Sys: 0.230000s | Max Memory: 324009984B
AC - T5_random_then_pop | Wall: 0.100000s | CPU User: 0.100000s | CPU Sys: 0.000000s | Max Memory: 7077888B
AC - T1_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T9_random_then_pop | Wall: 690.270000s | CPU User: 651.480000s | CPU Sys: 38.790000s | Max Memory: 32003325952B
AC - T1_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
