Running Brodnik (C++) Stack Test...
AC - T5_push_then_pop | Wall: 0.081851s | CPU User: 0.080387s | CPU Sys: 0.001005s | Max Memory: 6815744B
AC - T8_push_then_pop | Wall: 70.308873s | CPU User: 68.758581s | CPU Sys: 1.548013s | Max Memory: 3203923968B
AC - T9_push_then_pop | Wall: 922.458417s | CPU User: 726.619714s | CPU Sys: 36.178081s | Max Memory: 32004374528B
Running Brodnik (C++) Sort Test...
AC - T8 | Wall: 268.219779s | CPU User: 266.213080s | CPU Sys: 1.977834s | Max Memory: 804425728B
AC - T2 | Wall: 0.004977s | CPU User: 0.000908s | CPU Sys: 0.003633s | Max Memory: 1179648B
AC - T3 | Wall: 0.009314s | CPU User: 0.007989s | CPU Sys: 0.000999s | Max Memory: 3407872B
AC - T7 | Wall: 23.905969s | CPU User: 23.789641s | CPU Sys: 0.113001s | Max Memory: 83648512B
AC - T6 | Wall: 2.109011s | CPU User: 2.097370s | CPU Sys: 0.010999s | Max Memory: 11358208B
AC - T9 | Wall: 2949.996601s | CPU User: 2923.556595s | CPU Sys: 26.316204s | Max Memory: 8006524928B
AC - T5 | Wall: 0.186032s | CPU User: 0.183401s | CPU Sys: 0.001994s | Max Memory: 4194304B
AC - T4 | Wall: 0.026472s | CPU User: 0.025908s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T1 | Wall: 0.001956s | CPU User: 0.000000s | CPU Sys: 0.001559s | Max Memory: 2228224B
Running STL Vector (C++) Sort Test...
AC - T8 | Wall: 153.562679s | CPU User: 151.055391s | CPU Sys: 2.495677s | Max Memory: 939053056B
AC - T2 | Wall: 0.004935s | CPU User: 0.004441s | CPU Sys: 0.000000s | Max Memory: 917504B
AC - T3 | Wall: 0.008329s | CPU User: 0.007682s | CPU Sys: 0.000000s | Max Memory: 3276800B
AC - T7 | Wall: 14.319628s | CPU User: 14.136608s | CPU Sys: 0.179950s | Max Memory: 109682688B
AC - T6 | Wall: 1.286800s | CPU User: 1.266722s | CPU Sys: 0.018999s | Max Memory: 11812864B
AC - T9 | Wall: 1596.454139s | CPU User: 1565.990886s | CPU Sys: 30.336058s | Max Memory: 8297254912B
AC - T5 | Wall: 0.198489s | CPU User: 0.196671s | CPU Sys: 0.001004s | Max Memory: 4288512B
AC - T4 | Wall: 0.025818s | CPU User: 0.022125s | CPU Sys: 0.003017s | Max Memory: 3407872B
AC - T1 | Wall: 0.003265s | CPU User: 0.001315s | CPU Sys: 0.001315s | Max Memory: 1966080B
Running STL Deque (C++) Sort Test...
AC - T8 | Wall: 521.776050s | CPU User: 520.251025s | CPU Sys: 1.506927s | Max Memory: 840892416B
AC - T2 | Wall: 0.002044s | CPU User: 0.000790s | CPU Sys: 0.000790s | Max Memory: 2621440B
AC - T3 | Wall: 0.010074s | CPU User: 0.007800s | CPU Sys: 0.001949s | Max Memory: 3276800B
AC - T7 | Wall: 46.479583s | CPU User: 46.344111s | CPU Sys: 0.134008s | Max Memory: 87187456B
AC - T6 | Wall: 3.992668s | CPU User: 3.984088s | CPU Sys: 0.008001s | Max Memory: 11751424B
AC - T9 | Wall: 5800.286435s | CPU User: 5785.276679s | CPU Sys: 14.837875s | Max Memory: 8378335232B
AC - T5 | Wall: 0.536191s | CPU User: 0.531646s | CPU Sys: 0.003998s | Max Memory: 4325376B
AC - T4 | Wall: 0.052002s | CPU User: 0.050608s | CPU Sys: 0.000993s | Max Memory: 3407872B
AC - T1 | Wall: 0.001313s | CPU User: 0.001001s | CPU Sys: 0.000000s | Max Memory: 2621440B
Running Brodnik (C++) Binary Search Test...
AC - T8 | Wall: 104.661188s | CPU User: 104.105510s | CPU Sys: 0.552038s | Max Memory: 404094976B
AC - T2 | Wall: 0.002141s | CPU User: 0.000000s | CPU Sys: 0.001357s | Max Memory: 2621440B
AC - T3 | Wall: 0.028267s | CPU User: 0.005836s | CPU Sys: 0.001168s | Max Memory: 3276800B
AC - T7 | Wall: 10.009030s | CPU User: 9.939798s | CPU Sys: 0.068006s | Max Memory: 43646976B
AC - T6 | Wall: 0.961506s | CPU User: 0.951611s | CPU Sys: 0.008996s | Max Memory: 7471104B
AC - T9 | Wall: 1103.953836s | CPU User: 1098.564416s | CPU Sys: 5.357531s | Max Memory: 4005101568B
AC - T5 | Wall: 0.093318s | CPU User: 0.088472s | CPU Sys: 0.003978s | Max Memory: 3801088B
AC - T4 | Wall: 0.019114s | CPU User: 0.017349s | CPU Sys: 0.001021s | Max Memory: 3407872B
AC - T1 | Wall: 0.002677s | CPU User: 0.000993s | CPU Sys: 0.000993s | Max Memory: 2883584B
Running STL Vector (C++) Binary Search Test...
AC - T8 | Wall: 80.750633s | CPU User: 80.128689s | CPU Sys: 0.617999s | Max Memory: 403439616B
AC - T2 | Wall: 0.002197s | CPU User: 0.001398s | CPU Sys: 0.000000s | Max Memory: 2752512B
AC - T3 | Wall: 0.007333s | CPU User: 0.003296s | CPU Sys: 0.003296s | Max Memory: 3276800B
AC - T7 | Wall: 7.878790s | CPU User: 7.815594s | CPU Sys: 0.061976s | Max Memory: 43253760B
AC - T6 | Wall: 0.791508s | CPU User: 0.786481s | CPU Sys: 0.004003s | Max Memory: 7471104B
AC - T9 | Wall: 823.355180s | CPU User: 818.235461s | CPU Sys: 5.114077s | Max Memory: 4003332096B
AC - T5 | Wall: 0.077336s | CPU User: 0.073349s | CPU Sys: 0.003014s | Max Memory: 3670016B
AC - T4 | Wall: 0.019162s | CPU User: 0.016109s | CPU Sys: 0.002014s | Max Memory: 3276800B
AC - T1 | Wall: 0.002726s | CPU User: 0.001032s | CPU Sys: 0.001032s | Max Memory: 2752512B
Running Brodnik (C++) Heap Test...
AC - T8 | Wall: 159.989467s | CPU User: 146.776213s | CPU Sys: 13.200303s | Max Memory: 203816960B
AC - T2 | Wall: 0.001837s | CPU User: 0.001331s | CPU Sys: 0.000000s | Max Memory: 2228224B
AC - T3 | Wall: 0.007754s | CPU User: 0.003707s | CPU Sys: 0.003707s | Max Memory: 3407872B
AC - T7 | Wall: 14.375933s | CPU User: 12.992897s | CPU Sys: 1.380829s | Max Memory: 23592960B
AC - T6 | Wall: 1.284489s | CPU User: 1.149848s | CPU Sys: 0.133968s | Max Memory: 5373952B
AC - T5 | Wall: 0.121701s | CPU User: 0.107153s | CPU Sys: 0.014020s | Max Memory: 3670016B
AC - T4 | Wall: 0.020970s | CPU User: 0.015701s | CPU Sys: 0.004906s | Max Memory: 3407872B
