Running Brodnik (C++) Stack Test...
AC - T2_push_then_random | Wall: 0.001914s | CPU User: 0.000805s | CPU Sys: 0.000804s | Max Memory: 3407872B
AC - T1_random_then_pop | Wall: 0.003183s | CPU User: 0.000000s | CPU Sys: 0.002906s | Max Memory: 3801088B
AC - T3_push_then_random | Wall: 0.007362s | CPU User: 0.003992s | CPU Sys: 0.002994s | Max Memory: 3276800B
AC - T6_push_then_random | Wall: 0.838525s | CPU User: 0.830078s | CPU Sys: 0.008000s | Max Memory: 11665408B
AC - T2_push_then_pop | Wall: 0.004797s | CPU User: 0.002158s | CPU Sys: 0.002158s | Max Memory: 393216B
AC - T3_random_then_pop | Wall: 0.005142s | CPU User: 0.001902s | CPU Sys: 0.002853s | Max Memory: 3407872B
AC - T1_push_then_random | Wall: 0.001991s | CPU User: 0.000000s | CPU Sys: 0.001664s | Max Memory: 1966080B
AC - T3_push_random_then_pop | Wall: 0.004828s | CPU User: 0.001813s | CPU Sys: 0.002719s | Max Memory: 3407872B
AC - T6_random_then_pop | Wall: 0.918653s | CPU User: 0.911309s | CPU Sys: 0.005995s | Max Memory: 9699328B
AC - T5_push_then_pop | Wall: 0.060653s | CPU User: 0.059087s | CPU Sys: 0.001002s | Max Memory: 3801088B
AC - T4_push_random_then_pop | Wall: 0.019081s | CPU User: 0.016593s | CPU Sys: 0.001952s | Max Memory: 3538944B
AC - T8_push_then_pop | Wall: 57.822951s | CPU User: 57.370595s | CPU Sys: 0.452031s | Max Memory: 422227968B
AC - T6_random | Wall: 0.838645s | CPU User: 0.829938s | CPU Sys: 0.008001s | Max Memory: 11796480B
AC - T8_push_then_random | Wall: 82.843345s | CPU User: 82.070501s | CPU Sys: 0.765913s | Max Memory: 840953856B
AC - T2_random | Wall: 0.001880s | CPU User: 0.000000s | CPU Sys: 0.001440s | Max Memory: 2490368B
AC - T4_random_then_pop | Wall: 0.018790s | CPU User: 0.016287s | CPU Sys: 0.002036s | Max Memory: 3407872B
Running STL Stack Vector (C++) Stack Test...
AC - T7_push_random_then_pop | Wall: 7.162514s | CPU User: 7.075257s | CPU Sys: 0.086029s | Max Memory: 70078464B
AC - T7_random | Wall: 8.679871s | CPU User: 8.551683s | CPU Sys: 0.126995s | Max Memory: 136531968B
